frame,video_frame,intersection_type,intersection_x,intersection_y,intersection_z,refined_intersection_x,refined_intersection_y,refined_intersection_z,gaze_2d_pixel_x,gaze_2d_pixel_y,object_type,object_class,yolo_confidence,head_position_x,head_position_y,head_position_z,head_quat_x,head_quat_y,head_quat_z,head_quat_w
198,10775,yolo_refined,-4841.174073097975,-2030.6241673617124,924.177002,-4748.293193195855,-2536.3773857952965,450.0,511.0,833.0,obstacle,Chairs 1,0.9295470118522644,-4695.785645,-1727.754639,1493.328369,-0.854022,0.247266,0.196996,-0.413157
199,10775,yolo_refined,-4812.890698193669,-2064.930507694282,924.177002,-4723.750969069859,-2539.1386988293357,449.99999999999994,511.0,833.0,obstacle,Chairs 1,0.9295470118522644,-4692.563965,-1731.635132,1491.135498,-0.858134,0.25261,0.189448,-0.404849
200,10775,yolo_refined,-4746.963060293068,-2189.9692492362287,924.177002,-4655.535643980818,-2481.0603877798458,450.00000000000006,511.0,833.0,obstacle,Chairs 1,0.9295470118522644,-4688.335449,-1733.078735,1489.969849,-0.873392,0.235747,0.172706,-0.389592
201,10776,yolo_refined,-4794.916557810642,-2202.451804727247,924.177002,-4903.330957600395,-2391.654127822975,450.0,704.0,863.0,obstacle,Chairs 1,0.9359883069992065,-4689.979492,-1740.104126,1488.519287,-0.861754,0.227382,0.190254,-0.411681
202,10776,yolo_refined,-4797.496078118471,-2047.314594235752,924.177002,-4865.108872404676,-2376.122649025201,449.9999999999999,704.0,863.0,obstacle,Chairs 1,0.9359883069992065,-4686.45166,-1743.379028,1487.267822,-0.867398,0.228527,0.178768,-0.404275
203,10776,yolo_refined,-4779.84666090051,-2021.0861228724057,846.6679623190582,-4830.90763150235,-2387.950379834718,450.00000000000006,704.0,863.0,obstacle,Chairs 1,0.9359883069992065,-4683.640137,-1746.388306,1487.100586,-0.871747,0.213191,0.167827,-0.407971
204,10776,yolo_refined,-4723.324415508921,-2042.1822134309605,924.177002,-4841.522577485295,-2409.842477570824,450.0,704.0,863.0,obstacle,Chairs 1,0.9359883069992065,-4682.648926,-1751.762817,1485.712036,-0.868133,0.215017,0.170505,-0.41357
205,10777,yolo_refined,-4850.850462135028,-2021.217971827259,883.6001931982211,-4703.271505387045,-2541.4428995287985,450.0,574.0,719.0,obstacle,Chairs 1,0.930599570274353,-4678.716797,-1753.727661,1484.091431,-0.877608,0.209668,0.157983,-0.401104
206,10777,yolo_refined,-4714.046307084442,-2040.856686017179,924.177002,-4704.835683912901,-2541.266909507322,450.0,574.0,719.0,obstacle,Chairs 1,0.930599570274353,-4677.681152,-1759.480591,1484.078247,-0.872579,0.211699,0.155885,-0.411691
207,10777,yolo_refined,-4720.246744209708,-2064.914985311351,924.177002,-4692.466489677886,-2542.6586015188677,450.0,574.0,719.0,obstacle,Chairs 1,0.930599570274353,-4676.137207,-1763.731812,1483.00293,-0.873904,0.206933,0.15366,-0.412139
208,10777,yolo_refined,-4680.005382742863,-2061.625012791479,924.177002,-4652.560350189575,-2547.1485508625597,450.0,574.0,719.0,obstacle,Chairs 1,0.930599570274353,-4672.73291,-1764.475342,1482.226807,-0.895239,0.196715,0.134707,-0.376436
209,10778,yolo_refined,-4685.702564483917,-2047.096464194712,924.177002,-4658.2367083030795,-2218.4137891517726,450.0,634.0,972.0,obstacle,Chairs 1,0.9317640066146851,-4670.439453,-1768.019409,1480.604614,-0.897253,0.192187,0.132158,-0.37488
